"Gene"	"Ctrl_A"	"Ctrl_B"	"Ctrl_C"	"Stim_A"	"Stim_B"	"Stim_C"
"1700007F19Rik"	0	0	0	0	0	0
"1700007G11Rik"	63	155	42	67	136	46
"1700007J10Rik"	0	0	0	0	0	0
"1700007K09Rik"	0	0	0	0	3	0
"1700007K13Rik"	396	118	56	524	89	29
"1700007L15Rik"	4	3	1	6	3	0
"1700007P06Rik"	0	0	1	0	2	2
"1700008A04Rik"	0	0	0	0	0	0
"1700008F21Rik"	0	0	0	0	0	0
"1700008I05Rik"	0	0	0	0	0	0
"1700008J07Rik"	194	129	66	148	146	112
"1700008K24Rik"	3	0	0	0	0	3
"1700008O03Rik"	3	0	0	0	0	0
"1700008P02Rik"	0	0	0	0	0	0
"1700009C05Rik"	0	0	0	0	0	0
"1700009J07Rik"	0	0	0	0	0	0
"1700009N14Rik"	0	0	1	0	0	0
"1700009P17Rik"	574	1061	482	638	988	429
"1700010B08Rik"	0	1	0	1	4	0
"1700010D01Rik"	0	0	0	0	0	0
"1700010I02Rik"	0	0	0	0	0	0
"1700010I14Rik"	38	60	37	96	102	45
"1700010J16Rik"	0	0	0	0	0	0
"1700010K23Rik"	1	4	1	2	3	4
"1700011A15Rik"	4	5	0	1	1	0
"1700011B04Rik"	3	4	1	0	2	0
"1700011E24Rik"	1	0	0	0	0	0
"1700011H14Rik"	0	0	0	0	0	1
"1700011I03Rik"	5	6	0	3	8	5
"1700011J10Rik"	50	52	33	48	48	44
"1700011L22Rik"	0	0	0	0	1	0
"1700011M02Rik"	0	0	0	0	0	0
"1700012A03Rik"	0	0	0	0	0	0
"1700012B07Rik"	0	0	0	0	0	0
"1700012B09Rik"	529	105	26	715	84	40
"1700012B15Rik"	108	170	117	99	228	106
"1700012D01Rik"	3	9	4	8	2	3
"1700012D14Rik"	12	10	11	12	8	12
"1700012I11Rik"	0	0	0	0	0	0
"1700012L04Rik"	0	0	16	0	0	0
"1700012P22Rik"	1	10	4	0	3	0
"1700013D24Rik"	0	0	0	0	0	0
"1700013F07Rik"	64	67	40	75	52	28
"1700013G23Rik"	21	27	8	15	17	16
"1700013G24Rik"	0	2	0	0	0	0
"1700013H16Rik"	0	1	1	0	1	1
"1700015E13Rik"	0	0	0	0	0	0
"1700015F17Rik"	1	0	1	0	0	0
"1700015G11Rik"	0	0	0	0	0	0
"1700016C15Rik"	10	36	18	16	41	15
"1700016D06Rik"	8	23	3	7	21	12
"1700016G22Rik"	0	0	0	0	0	1
"1700016H13Rik"	0	2	0	5	0	0
"1700016K19Rik"	685	847	148	762	579	167
"1700016L04Rik"	0	0	0	0	0	0
"1700016L21Rik"	0	0	0	0	0	0
"1700016P04Rik"	0	0	0	0	0	0
"1700017B05Rik"	595	356	193	616	249	118
"1700017D01Rik"	0	0	0	0	0	0
"1700017G19Rik"	0	0	0	0	0	0
"1700017J07Rik"	0	0	0	0	0	0
"1700017N19Rik"	0	0	0	0	0	0
"1700018A04Rik"	0	0	0	0	0	0
"1700018B08Rik"	0	0	0	0	0	0
"1700018B24Rik"	0	1	2	2	6	0
"1700018C11Rik"	0	3	0	2	6	2
"1700018F24Rik"	0	0	5	0	0	0
"1700018G05Rik"	0	0	0	0	0	0
"1700018L02Rik"	26	34	11	12	35	19
"1700019A02Rik"	0	2	1	0	0	1
"1700019B03Rik"	2	5	4	0	0	0
"1700019B21Rik"	0	0	0	0	0	0
"1700019D03Rik"	30	3	4	32	7	10
"1700019E08Rik"	0	0	0	0	0	0
"1700019G17Rik"	55	87	42	46	81	71
"1700019G24Rik"	0	0	0	0	0	0
"1700019L03Rik"	64	81	63	68	48	33
"1700019M22Rik"	0	0	0	0	0	0
"1700019N19Rik"	0	0	0	0	0	0
"1700019O17Rik"	0	0	0	7	0	0
"1700020A23Rik"	0	0	0	0	0	0
"1700020D05Rik"	0	5	9	0	2	4
"1700020G17Rik"	0	0	0	0	0	0
"1700020I14Rik"	60	46	62	73	86	59
"1700020L24Rik"	2	0	0	1	0	1
"1700020M21Rik"	0	0	0	0	0	0
"1700020N01Rik"	0	6	0	0	0	0
"1700020N15Rik"	0	0	0	0	1	0
"1700020N18Rik"	0	0	0	2	0	0
"1700021F05Rik"	243	258	127	182	201	121
"1700021F07Rik"	0	0	0	0	0	0
"1700021K19Rik"	0	2	4	9	0	5
"1700021N21Rik"	0	0	0	0	3	0
"1700022A21Rik"	0	0	0	0	0	0
"1700022A22Rik"	0	0	0	0	0	0
"1700022E09Rik"	0	0	0	0	0	0
"1700022H16Rik"	0	0	0	0	0	0
"1700022I11Rik"	0	0	0	0	0	0
"1700022P22Rik"	0	8	1	0	1	1
"1700023C21Rik"	0	0	0	0	0	0
"1700023E05Rik"	41	95	39	68	116	50
"1700023F02Rik"	0	0	0	0	0	0
"1700023F06Rik"	35	8	3	30	5	0
"1700023L04Rik"	174	222	56	198	242	64
"1700024B18Rik"	0	0	0	0	0	0
"1700024F13Rik"	2	1	0	0	2	1
"1700024G13Rik"	116	148	65	170	131	57
"1700024P03Rik"	0	0	0	0	0	0
"1700024P04Rik"	0	0	0	0	0	0
"1700024P16Rik"	16	36	75	33	21	82
"1700025B11Rik"	0	0	0	0	0	0
"1700025C18Rik"	0	0	0	0	0	0
"1700025F22Rik"	0	0	0	0	0	0
"1700025F24Rik"	2	0	0	0	0	0
"1700025G04Rik"	33	29	22	38	41	10
"1700025K24Rik"	0	0	0	0	0	0
"1700025M24Rik"	0	0	0	0	0	0
"1700025N23Rik"	0	0	0	0	0	0
"1700026D08Rik"	83	95	57	80	140	41
"1700026D11Rik"	0	0	0	0	0	0
"1700026F02Rik"	0	0	0	0	0	0
"1700026L06Rik"	151	119	80	148	151	58
"1700027A15Rik"	0	0	0	0	0	0
"1700027F09Rik"	0	0	0	0	0	0
"1700027H10Rik"	1	0	1	0	1	0
"1700027I24Rik"	0	0	0	0	0	0
"1700027J07Rik"	0	0	1	0	0	0
"1700028B04Rik"	0	0	0	0	0	0
"1700028D13Rik"	0	0	0	0	0	0
"1700028E10Rik"	0	27	17	6	80	18
"1700028I16Rik"	0	0	0	0	0	0
"1700028J19Rik"	0	0	0	0	0	0
"1700028K03Rik"	1	3	3	4	5	7
"1700028M03Rik"	0	0	0	0	0	0
"1700028P14Rik"	87	289	96	95	310	154
"1700028P15Rik"	0	0	0	0	1	0
"1700029B22Rik"	0	0	0	0	0	0
"1700029F12Rik"	0	0	0	0	0	0
"1700029H14Rik"	0	0	0	0	0	0
"1700029I15Rik"	3	5	4	2	3	4
"1700029J03Rik"	0	0	0	0	0	0
"1700029J07Rik"	110	119	178	95	175	159
"1700029M20Rik"	0	0	2	0	0	1
"1700029N11Rik"	0	0	0	0	0	1
"1700029P11Rik"	0	0	0	0	0	0
"1700030A11Rik"	0	0	0	0	0	0
"1700030C10Rik"	1	0	0	0	0	0
"1700030F04Rik"	0	0	0	0	0	0
"1700030F18Rik"	0	0	0	0	0	0
"1700030J22Rik"	37	90	21	46	69	13
"1700030K09Rik"	29	17	59	26	35	24
"1700030L20Rik"	0	0	0	0	0	0
"1700030M09Rik"	0	0	0	0	0	0
"1700030N03Rik"	0	0	0	0	0	0
"1700030O20Rik"	0	0	0	0	0	0
"1700031A10Rik"	2	0	0	0	0	0
"1700031F05Rik"	1	0	0	0	0	0
"1700031M16Rik"	0	0	0	0	0	0
"1700031P21Rik"	0	0	0	0	0	0
"1700034E13Rik"	0	0	0	0	1	1
"1700034F02Rik"	1	9	4	2	0	5
"1700034G24Rik"	0	0	0	0	0	0
"1700034H15Rik"	0	0	0	0	0	0
"1700034I23Rik"	0	0	4	2	2	5
"1700034J05Rik"	0	0	0	0	0	0
"1700034K08Rik"	0	0	0	0	0	0
"1700034O15Rik"	0	0	0	0	0	0
"1700034P13Rik"	0	1	1	0	0	2
"1700036G14Rik"	0	0	0	0	0	0
"1700037C18Rik"	157	102	1	83	141	5
"1700037H04Rik"	684	861	11	903	994	199
"1700039E15Rik"	0	0	0	0	0	0
"1700039E22Rik"	0	0	0	0	0	0
"1700040L02Rik"	218	308	226	277	577	150
"1700040N02Rik"	0	0	0	0	0	1
"1700041C23Rik"	0	0	0	0	0	0
"1700041M19Rik"	0	0	0	0	0	0
"1700042B14Rik"	0	0	0	0	0	0
"1700042G07Rik"	0	0	0	0	0	0
"1700042G15Rik"	0	0	0	0	0	0
"1700042O10Rik"	0	0	6	0	0	7
"1700044C05Rik"	0	0	0	0	0	0
"1700044K03Rik"	0	0	0	0	0	0
"1700045H11Rik"	0	0	0	0	0	0
"1700046C09Rik"	0	0	0	0	0	0
"1700047E10Rik"	1	0	0	0	0	0
"1700047G03Rik"	0	0	0	0	0	0
"1700047I17Rik2"	124	89	62	120	88	63
"1700047L14Rik"	0	0	0	0	0	0
"1700047M11Rik"	1	5	2	0	1	0
"1700048M11Rik"	0	0	0	0	0	2
"1700048O20Rik"	1	8	24	11	39	43
"1700049E15Rik"	0	0	3	0	2	1
"1700049E22Rik"	0	0	0	0	0	0
"1700049G17Rik"	2	4	6	0	7	16
"1700049L16Rik"	0	0	0	0	0	0
"1700051A21Rik"	0	0	1	0	0	0
"1700052I22Rik"	0	0	0	0	0	0
"1700052K11Rik"	36	131	55	67	62	57
"1700052N19Rik"	48	36	75	78	97	41
"1700054A03Rik"	0	0	1	0	0	0
"1700054K19Rik"	0	0	0	0	0	0
"1700054M17Rik"	0	0	0	0	0	0
"1700054O13Rik"	0	0	0	0	0	0
"1700055C04Rik"	0	0	0	0	0	0
"1700055N04Rik"	0	0	0	0	0	0
"1700056E22Rik"	5	1	0	7	0	0
"1700057G04Rik"	0	0	0	0	0	0
"1700057H15Rik"	0	0	0	0	0	0
"1700058G18Rik"	0	0	0	0	0	0
"1700060C16Rik"	0	0	0	0	0	0
"1700060C20Rik"	0	0	1	0	0	1
"1700061F12Rik"	0	0	0	0	0	0
"1700061G19Rik"	0	0	0	0	0	1
"1700061I17Rik"	0	0	0	0	0	0
"1700063A18Rik"	0	0	0	0	0	0
"1700063D05Rik"	0	0	1	0	0	0
"1700063O14Rik"	0	0	0	0	0	0
"1700064J06Rik"	0	0	0	0	0	0
"1700064M15Rik"	1	0	0	3	0	0
"1700065D16Rik"	1	0	0	0	0	0
"1700065I16Rik"	0	0	0	0	0	0
"1700065I17Rik"	0	0	0	0	0	0
"1700065J11Rik"	0	0	0	0	0	0
"1700065J18Rik"	1	0	1	0	0	1
"1700065O20Rik"	0	0	0	0	0	0
"1700066B17Rik"	0	0	0	0	0	0
"1700066B19Rik"	2	2	5	9	5	0
"1700066J24Rik"	1	1	0	6	1	0
"1700066M21Rik"	12	1	3	12	1	3
"1700066N21Rik"	21	0	0	6	1	4
"1700066O22Rik"	0	0	0	0	0	0
"1700067G17Rik"	0	0	0	0	0	0
"1700067K01Rik"	24	12	13	13	34	16
"1700067P10Rik"	0	0	0	0	0	0
"1700069L16Rik"	0	0	0	0	0	0
"1700069P05Rik"	0	0	0	0	0	0
"1700071K01Rik"	44	34	0	39	22	0
"1700071M16Rik"	0	0	0	0	1	0
"1700072B07Rik"	0	0	0	0	0	0
"1700072O05Rik"	0	0	0	0	0	0
"1700073E17Rik"	46	62	40	48	79	58
"1700074H08Rik"	0	0	1	0	0	0
"1700074P13Rik"	0	0	0	0	0	0
"1700080E11Rik"	0	0	0	0	1	0
"1700080N15Rik"	0	0	0	0	0	0
"1700080O16Rik"	0	0	0	0	0	0
"1700081H04Rik"	0	0	0	0	0	0
"1700081H22Rik"	0	0	0	0	0	0
"1700084C01Rik"	10	32	25	29	30	21
"1700084E18Rik"	4	13	4	6	5	2
"1700084F23Rik"	0	0	0	0	0	0
"1700084J12Rik"	21	23	18	15	15	6
"1700085B03Rik"	0	0	0	0	0	0
"1700085C21Rik"	0	0	0	0	0	0
"1700086L19Rik"	66	29	7	80	28	11
"1700086O06Rik"	47	49	13	47	35	14
"1700088E04Rik"	353	527	336	453	450	352
"1700091E21Rik"	0	0	0	0	0	0
"1700091H14Rik"	0	0	0	0	0	0
"1700092C02Rik"	0	0	0	0	0	0
"1700092C10Rik"	0	0	0	0	0	0
"1700092E19Rik"	0	0	0	0	0	0
"1700092K14Rik"	0	0	0	0	3	0
"1700092M07Rik"	3	5	3	0	6	2
"1700093K21Rik"	1	0	0	0	5	0
"1700094D03Rik"	97	161	69	85	140	104
"1700094J05Rik"	0	0	0	0	0	0
"1700094M24Rik"	0	0	0	0	0	0
"1700095A21Rik"	0	0	0	0	0	0
"1700095B10Rik"	0	0	0	0	0	0
"1700095B22Rik"	0	0	0	0	0	0
"1700096J18Rik"	4	17	6	1	13	0
"1700096K18Rik"	124	240	43	118	367	127
"1700097N02Rik"	4	2	0	15	4	1
"1700100L14Rik"	0	0	0	0	0	0
"1700101E01Rik"	22	24	0	34	26	3
"1700101I11Rik"	19	7	0	24	10	1
"1700101O22Rik"	0	0	0	0	0	0
"1700102H20Rik"	4	10	2	1	5	5
"1700102P08Rik"	11	3	18	0	5	16
"1700104A03Rik"	0	0	0	0	0	0
"1700105P06Rik"	0	1	1	4	0	2
"1700106J16Rik"	0	0	0	0	0	0
"1700108F19Rik"	2	4	11	3	6	4
"1700108J01Rik"	0	0	0	0	0	0
"1700109F18Rik"	0	0	0	0	0	0
"1700109G14Rik"	0	0	0	0	0	0
"1700109G15Rik"	0	0	0	0	0	0
"1700109H08Rik"	3	19	28	13	15	19
"1700109I08Rik"	0	0	0	0	0	0
"1700110C19Rik"	0	3	0	0	0	0
"1700110I01Rik"	2	5	15	0	25	8
"1700110K17Rik"	0	1	0	1	0	0
"1700110M21Rik"	0	0	0	0	2	0
"1700111N16Rik"	0	0	0	0	0	0
"1700112E06Rik"	25	51	18	38	37	20
"1700112H15Rik"	0	0	0	0	0	0
"1700112J05Rik"	0	2	0	1	0	0
"1700113A16Rik"	16	21	11	14	11	11
"1700113H08Rik"	9	9	4	1	2	0
"1700119H24Rik"	0	0	0	0	0	0
"1700120C14Rik"	1	0	1	0	0	1
"1700120E14Rik"	0	0	0	0	0	0
"1700120G07Rik"	0	0	0	0	0	0
"1700120K04Rik"	4	12	15	9	4	8
"1700121L16Rik"	0	0	0	0	0	0
"1700121N20Rik"	0	0	0	0	0	0
"1700122O11Rik"	0	0	0	0	0	0
"1700123I01Rik"	3	1	2	3	3	4
"1700123K08Rik"	0	0	0	1	0	0
"1700123L14Rik"	0	1	0	0	0	0
"1700123M08Rik"	2	7	2	0	3	5
"1700123O12Rik"	0	0	0	0	0	0
"1700123O20Rik"	423	631	335	499	605	333
"1700123O21Rik"	0	0	0	0	0	1
"1700125G02Rik"	0	0	0	0	0	0
"1700125G22Rik"	5	22	8	16	16	6
"1700125H03Rik"	1	0	0	0	0	0
"1700125H20Rik"	0	2	1	5	4	3
"1700126H18Rik"	0	0	0	0	0	0
"1700128A07Rik"	0	0	0	0	0	0
"1700128F08Rik"	0	0	0	0	0	0
"1700129C05Rik"	0	0	0	0	0	0
"1810006J02Rik"	0	0	0	0	0	0
"1810007C17Rik"	0	0	0	0	0	0
"1810007D17Rik"	0	0	0	0	0	0
"1810007I06Rik"	0	0	0	0	0	0
"1810008I18Rik"	3	4	2	0	2	3
"1810009A15Rik"	105	100	66	94	86	67
"1810009J06Rik"	0	0	0	0	0	0
"1810010D01Rik"	0	0	0	0	0	0
"1810010H24Rik"	38	32	59	68	37	38
"1810011H11Rik"	1	1	0	2	4	1
"1810011O10Rik"	141	41	78	111	86	61
"1810012K16Rik"	0	1	0	1	0	0
"1810013A23Rik"	0	0	0	0	0	0
"1810013L24Rik"	99	115	65	106	136	67
"1810014B01Rik"	99	168	114	106	158	138
"1810018F18Rik"	0	0	0	0	0	0
"1810019D21Rik"	136	185	158	155	197	158
"1810019J16Rik"	271	161	12	277	213	15
"1810020O05Rik"	6	15	21	10	11	36
"1810021B22Rik"	5	7	4	8	4	2
"1810022K09Rik"	10	152	37	16	106	128
"1810024B03Rik"	0	0	2	4	0	4
"1810026B05Rik"	0	2	0	1	0	0
"1810026J23Rik"	20	2	3	28	3	1
"1810030O07Rik"	17	12	18	29	13	6
"1810032O08Rik"	32	59	87	23	48	163
"1810033B17Rik"	0	5	3	4	2	0
"1810034E14Rik"	8	22	11	18	22	13
"1810035I16Rik"	0	0	0	0	0	0
"1810037I17Rik"	271	537	209	222	283	164
"1810041L15Rik"	7	0	0	2	0	0
"1810043G02Rik"	347	177	76	309	239	101
"1810043H04Rik"	72	26	2	74	22	1
"1810044D09Rik"	48	80	51	60	54	58
"1810046K07Rik"	37	18	25	9	7	21
"1810053B23Rik"	0	0	0	0	0	0
"1810055G02Rik"	832	416	381	815	605	318
"1810058I24Rik"	619	838	427	555	544	365
"1810062G17Rik"	38	46	35	35	61	45
"1810062O18Rik"	8	11	6	7	8	8
"1810064F22Rik"	0	0	0	3	3	1
"1810065E05Rik"	0	0	0	0	0	0
"2010001E11Rik"	0	0	2	0	0	1
"2010001M06Rik"	2	2	3	2	2	1
"2010002M12Rik"	2	5	12	2	11	4
"2010003K11Rik"	1	0	0	0	0	0
"2010003O02Rik"	26	34	17	19	12	16
"2010005H15Rik"	0	0	2	0	0	4
"2010009K17Rik"	0	0	0	0	0	0
"2010010A06Rik"	0	0	0	0	0	0
"2010012O05Rik"	68	75	32	70	68	42
"2010015L04Rik"	17	21	33	37	7	27
"2010016I18Rik"	0	0	0	0	0	0
"2010106C02Rik"	0	0	0	0	0	0
"2010106E10Rik"	0	0	0	0	0	0
"2010107E04Rik"	117	340	113	107	179	131
"2010107G12Rik"	1	2	3	6	1	4
"2010107G23Rik"	9	74	4	15	55	3
"2010109A12Rik"	1	16	1	4	6	8
"2010109I03Rik"	0	0	0	1	0	2
"2010111I01Rik"	127	124	110	92	95	110
"2010204K13Rik"	23	31	25	23	34	29
"2010300C02Rik"	245	130	136	269	122	152
"2010308F09Rik"	0	0	0	0	0	0
"2010310C07Rik"	1	0	0	1	0	1
"2010315B03Rik"	76	64	64	50	58	155
"2010320M18Rik"	153	166	56	104	119	82
"2200002D01Rik"	18	14	3	11	5	5
"2200002J24Rik"	0	0	0	0	0	1
"2210010C04Rik"	0	0	0	0	0	0
"2210013O21Rik"	54	110	58	45	92	34
"2210015D19Rik"	132	94	106	92	173	97
"2210016F16Rik"	155	230	97	174	193	64
"2210016L21Rik"	244	239	115	311	231	97
"2210018M11Rik"	376	258	704	424	263	568
"2210019I11Rik"	0	0	0	0	0	0
"2210039B01Rik"	6	15	12	10	6	9
"2210404J11Rik"	229	325	374	224	227	299
"2210404O07Rik"	10	37	30	27	15	30
"2210404O09Rik"	8	11	0	10	5	7
"2210407C18Rik"	11	13	4	3	23	0
"2210408F21Rik"	13	15	5	13	15	1
"2210408I21Rik"	72	84	157	79	112	128
"2210409D07Rik"	3	3	3	1	3	2
"2210409E12Rik"	1	6	3	0	0	0
"2210414B05Rik"	0	0	0	0	0	0
"2210416O15Rik"	2	0	1	3	0	0
"2210417A02Rik"	0	0	0	0	0	0
"2210417K05Rik"	26	37	3	15	28	10
"2210420H20Rik"	0	0	0	0	0	0
"2300002M23Rik"	20	0	3	29	1	1
"2300003K06Rik"	0	0	0	0	0	0
"2300005B03Rik"	48	97	40	49	82	23
"2300009A05Rik"	68	92	10	57	47	29
"2310001H17Rik"	21	14	20	20	16	32
"2310001K24Rik"	0	0	0	1	0	0
"2310002D06Rik"	0	0	0	0	3	0
"2310002F09Rik"	0	0	0	0	0	0
"2310002J15Rik"	23	10	10	13	11	2
"2310002L09Rik"	0	0	0	0	0	0
"2310003H01Rik"	136	86	5	132	89	4
"2310005A03Rik"	0	0	0	0	0	0
"2310005E17Rik"	0	0	0	0	0	0
"2310005G13Rik"	2	4	0	4	0	0
"2310007B03Rik"	28	46	26	33	78	11
"2310007L24Rik"	88	114	47	105	102	27
"2310008H04Rik"	167	115	138	78	191	113
"2310008N11Rik"	0	0	0	0	0	0
"2310009A05Rik"	98	227	71	98	130	72
"2310009B15Rik"	96	30	8	67	17	7
"2310010J17Rik"	7	1	1	6	2	1
"2310011J03Rik"	107	73	28	121	63	25
"2310014F07Rik"	310	130	159	117	281	151
"2310014L17Rik"	0	0	0	0	1	0
"2310015A10Rik"	1	0	0	0	0	0
"2310015B20Rik"	0	2	1	5	1	4
"2310015D24Rik"	0	0	0	0	0	0
"2310016D03Rik"	0	0	0	0	0	0
"2310020H05Rik"	0	0	0	0	0	0
"2310022A10Rik"	25	69	0	76	18	1
"2310022B05Rik"	16	8	0	24	2	0
"2310030A07Rik"	0	0	0	0	0	0
"2310030G06Rik"	100	133	107	89	118	76
"2310033P09Rik"	54	42	9	67	12	4
"2310034C09Rik"	0	0	0	0	0	0
"2310034G01Rik"	103	57	12	103	61	9
"2310034O05Rik"	4	19	26	6	41	13
"2310035C23Rik"	48	25	66	70	18	77
"2310036O22Rik"	864	77	40	857	64	24
"2310039H08Rik"	274	50	2	244	43	1
"2310039L15Rik"	1	1	0	0	0	0
"2310040G24Rik"	60	157	72	72	109	73
"2310042D19Rik"	49	22	139	51	40	125
"2310042E22Rik"	1	1	0	0	2	0
"2310043L19Rik"	0	0	1	0	0	0
"2310043O21Rik"	0	0	0	0	0	0
"2310044G17Rik"	1000	1355	1767	1017	1500	1286
"2310045N01Rik"	170	208	144	139	157	129
"2310047M10Rik"	168	28	13	226	48	15
"2310050B05Rik"	0	0	0	0	1	0
"2310050C09Rik"	0	0	0	0	0	0
"2310057J18Rik"	1199	330	581	309	897	766
